City,Label
Jefferson City,1085
Highland,1005
Boone,217
New Orleans,1587
Las Vegas,1200
Grand Island,890
West Covina,2469
Little Rock,1257
Punta Gorda,1859
Jacksonville,1079
Phoenix,1800
Bowling Green,226
Memphis,1405
St. Peters,2199
Taylor,2278
Clearwater,433
Metairie,1418
Lafayette,1167
Dallas,532
Gainesville,831
Trevose,2321
Oklahoma City,1695
Lakewood,1189
Fallston,729
Columbus,461
Dublin,601
Flemming,754
Monroe,1473
Raleigh,1883
Souderton,2140
Mechanicsburg,1397
Williamstown,2521
Virginia Beach,2386
Tucson,2327
McDonough,1386
Akron,18
Doral,586
Naples,1557
Lutz,1303
Pompano Beach,1827
Arcadia,71
Tampa,2273
Killeen,1130
Englewood,688
Wilmington,2528
Grapevine,898
Ocala,1685
San Diego,2033
GILBERT,827
Lillington,1243
White Plains,2506
Palm Harbor,1759
Charlotte,388
Lone Tree,1277
Fairless Hills,722
Ellicott City,672
Fresno,806
Kirkwood,1139
Grand Forks,889
Rainbow City,1882
Joliet,1093
Brockton,258
Greenville,918
Plantation,1815
Seattle,2081
Selma,2088
Tallahassee,2269
Kenosha,1123
Prince Frederick,1852
Boyertown,228
Lynn,1306
Siloam Springs,2115
Austin,94
Grove City,929
Noblesville,1615
Miami,1421
Marietta,1353
Tarpon Springs,2276
Seffner,2086
Oak Park Heights,1678
ORLANDO,1672
Red Springs,1901
Peoria,1788
New Bern,1577
Madison,1323
Belle Glade,152
Alachua,19
Henderson,991
Farmington,734
Cincinnati,421
Corbin,479
Denton,568
Orlando,1719
North Olmsted,1644
Aurora,92
Fruitland Park,810
Anaheim,53
Port Richey,1836
Norfolk,1619
Topeka,2312
Zelienople,2587
Buford,288
Downers Grove,592
St. Louis,2198
Oak Lawn,1676
Plainfield,1811
Houston,1034
Hermitage,995
Pataskala,1776
Delavan,561
Carmel,347
Fishers,748
Cranston,498
Indianapolis,1063
San Jose,2036
Sea Girt,2078
Temple Hills,2284
Conyers,470
Elizabeth City,661
Amarillo,43
Smyrna,2130
Gladstone,858
Newnan,1603
Avon,96
Scottsdale,2076
Placerville,1810
Irwin,1072
Woonsocket,2559
Flagstaff,750
Matthews,1377
Birmingham,189
Mission,1460
Ridgeland,1924
Palm Coast,1757
Ft Walton Beach,813
Spencerport,2170
Albuquerque,29
Ft. Lauderdale,815
Branson,237
St Peters,2191
Maryville,1371
Clarksville,431
Homosassa,1027
Tyler,2342
Bradenton,231
Atlanta,86
Oswego,1726
Duluth,604
Newberry,1598
Allentown,35
Florissant,758
Delaware,562
Towanda,2316
Syracuse,2259
Chicago,407
Hartsville,967
Simi Valley,2120
Anderson,55
Collinsville,454
Springfield,2181
East Dundee,622
BROKEN ARROW,110
Muskogee,1536
Palmyra,1763
Canton,336
Baltimore,118
St. Augustine,2193
Conway,469
Bedford,145
Del City,558
Lexington,1234
Redlands,1904
Plymouth,1822
Jonesboro,1094
Yuba City,2579
Parma,1772
Pueblo,1857
Newport News,1606
Shelby,2098
Edinburg,644
Wall,2407
Athens,85
Gurnee,932
Johnston,1091
Excelsior Springs,707
El Paso,655
Mesa,1416
Delray Beach,564
Fort Lauderdale,776
Lees Summit,1218
Lakeland,1186
Old Bridge,1698
Circleville,423
Florence,756
Bradley,232
Omaha,1703
PLANO,1745
The Woodlands,2294
Des Moines,574
Somersworth,2137
WINCHESTER,2394
Cockeysville,443
Dawsonville,545
Roswell,1968
Hamler,950
Saint Joseph,2008
Blair,194
Lima,1244
Enterprise,692
Louisville,1289
Deerfield Beach,556
Russellville,1976
Daphne,539
Rome,1960
Melbourne,1403
Coral Springs,477
Gaithersburg,832
Alcoa,30
Knoxville,1144
Paso Robles,1775
Colmar,456
Junction City,1097
Jackson,1078
Union City,2345
Dry Ridge,599
Labelle,1165
Egg Harbor,648
Martin,1366
Hyattsville,1055
San Antonio,2025
Chantilly,384
Schaumburg,2070
Morton,1500
Ravenna,1895
West Palm Beach,2476
Logan,1268
Lebanon,1215
Purcell,1860
Fort Collins,773
Bridgeton,251
Nicholasville,1613
Antioch,64
Clanton,426
BLUFFTON,105
Richmond,1921
Adrian,15
Rhinelander,1917
West Seneca,2480
Mequon,1408
Moreno Valley,1492
Chattanooga,391
Fairfax,718
Easton,636
Hendersonville,992
Whitesboro,2509
Tulsa,2331
Philadelphia,1799
Ephrata,694
Brooksville,269
Avondale,98
Belleville,156
Dunn,610
Batesburg-Leesville,129
Savannah,2067
Fairborn,716
Elmhurst,676
State College,2207
Mcgregor,1394
West Bend,2462
Fort Worth,787
Catonsville,365
Oakfield,1681
Decatur,553
Bountiful,222
Franklin,796
Grand Rapids,893
Greensboro,915
Sunnyvale,2244
Spring,2175
Abilene,7
Las Cruces,1199
Mchenry,1395
Morristown,1497
Van Nuys,2364
Warminster,2415
Rosenberg,1965
Montgomery,1479
Chelsea,396
Royal Oak,1971
Buckeye,278
Marlton,1360
Fort Smith,782
Shrewsbury,2110
Zanesville,2584
Calais,319
