Model,Label
EncoreConvenience,811
EncoreFWD,813
EncoreLeather,814
VeranoSport,2545
EncoreAWD,810
EncoreEncore,812
Terraza4dr,2393
EncorePremium,816
VeranoConvenience,2541
EncoreSport,817
Verano4dr,2538
Rendezvous4dr,1986
ILX5-Speed,1249
ILXAutomatic,1252
TSXAutomatic,2336
TSX5-Speed,2335
TSX4dr,2334
TLBase,2325
TL4dr,2323
TLSH-AWD,2327
TLAutomatic,2324
RDXFWD,1932
RDXAWD,1930
TSXSpecial,2339
TLXFWD,2330
RDXwith,1933
TLXSH-AWD,2331
TL2WD,2322
MDX4WD,1465
MDXAWD,1467
MDXBase,1469
MDXwith,1472
MDXFWD,1470
MDXSH-AWD,1471
RLXwith,1939
A42007,168
A44dr,171
A42.0T,163
A3Sedan,162
A4Premium,174
A64dr,185
A52.0T,179
A4Season,176
S42dr,2073
A3Cabriolet,161
A62.0T,181
Q7quattro,1860
A63.0T,183
Q5quattro,1845
Q52.0T,1839
S44dr,2074
Q3quattro,1822
TT3.2L,2344
S3Premium,2061
allroad2.0T,2780
Q73.0T,1858
Q52.0,1838
A3,158
Q3Premium,1821
A8,190
A84.0T,192
S6quattro,2096
3,43
X1sDrive28i,2616
i3Hatchback,2807
5,97
X3AWD,2620
X1xDrive35i,2619
X3xDrive28i,2623
X5AWD,2629
7,131
X1xDrive,2617
X1xDrive28i,2618
4,81
X3sDrive28i,2621
X4xDrive28i,2625
X5xDrive35i,2632
X5,2627
X5xDrive35d,2631
6,129
2,21
M32dr,1426
X6xDrive35i,2637
X5xDrive50i,2633
VeranoBase,2540
RendezvousFWD,1989
Lucerne4dr,1412
LaCrosse4dr,1369
LaCrosseFWD,1373
RegalTurbo,1983
EnclaveFWD,806
EnclaveLeather,807
Century4dr,524
EnclaveAWD,803
EnclavePremium,808
EnvisionFWD,826
ATS3.6L,199
ATS2.0L,197
ATS2.5L,198
SRXFWD,2146
CTS,428
SRXLuxury,2148
Escalade4dr,856
SRXPremium,2150
XTSAWD,2728
XT5Luxury,2722
EscaladeAWD,857
XTSFWD,2730
CTS-V,429
CruzeLS,694
Malibu,1521
Malibu1LT,1524
MalibuLS,1541
MalibuLT,1542
CruzeSedan,701
CruzeLTZ,697
Cruze1LT,685
Cruze4dr,689
MalibuECO,1536
CruzeLT,695
Aveo4dr,282
Cruze2LT,687
Malibu4dr,1533
EquinoxFWD,846
TraxFWD,2448
TraxAWD,2447
Malibu2LTZ,1528
Cobalt2dr,603
SonicHatch,2243
EquinoxAWD,845
SonicHatchback,2244
Cruze,683
SonicSedan,2246
CamaroCoupe,471
ImpalaLS,1272
Impala4dr,1269
Impala2LT,1264
ImpalaLT,1273
Silverado,2225
VoltPlug-In,2566
Camaro2dr,469
VoltBase,2564
TraverseFWD,2441
Cavalier4dr,509
ImpalaPremier,1279
Traverse2LT,2439
ColoradoCrew,608
Colorado4WD,607
HHRFWD,1215
Express,923
Tahoe4dr,2369
Traverse1LT,2438
Tahoe4WD,2368
TahoeLT,2373
AvalancheLS,263
C/K,355
Corvette2dr,664
CamaroConvertible,470
Avalanche4WD,262
TraverseAWD,2440
Tahoe2WD,2366
200Limited,28
200S,29
2004dr,24
200Sedan,31
300300,45
PacificaTouring,1732
3004dr,48
PacificaTouring-L,1733
300300C,46
Town,2430
300John,52
PT,1724
AvengerSE,279
CaliberSXT,463
Charger4dr,541
ChargerSXT,555
DartSXT,715
JourneyFWD,1334
DartGT,711
ChallengerSXT,535
DartSE,714
JourneySE,1338
JourneyCrew,1332
JourneyR/T,1337
Grand,1204
JourneyAWD,1330
ChallengerR/T,531
NitroR/T,1674
Challenger2dr,528
Ram,1959
ChargerRT,549
DurangoAWD,728
NitroSE,1675
JourneySXT,1339
Durango2WD,725
DurangoCitadel,730
DurangoLimited,733
DurangoSXT,735
500XFWD,115
500Pop,109
Fusion4dr,1106
FusionSE,1111
FusionS,1110
FocusSedan,1058
FocusHatchback,1049
FiestaHatchback,1017
FiestaSedan,1023
FusionTitanium,1115
FusionHybrid,1108
Focus5dr,1047
Focus4dr,1046
Fiesta4dr,1015
EscapeFWD,866
EscapeS,870
EscapeSE,871
Escape4WD,864
ExplorerRWD,919
Fusion,1105
MustangFastback,1635
EscapeTitanium,874
Edge4dr,770
Mustang2dr,1627
MustangConvertible,1631
EdgeLimited,774
Explorer4WD,910
ExplorerFWD,915
ExplorerBase,913
TaurusLimited,2382
TaurusSEL,2385
Taurus4dr,2378
ExplorerXLT,922
F-1502WD,926
EdgeSEL,776
Transit,2437
F-1504WD,927
Explorer,907
EdgeSport,778
MustangGT,1636
ExplorerLimited,916
Super,2319
F-150SuperCrew,943
MustangCoupe,1632
Flex4dr,1038
FlexSEL,1041
F-150XLT,946
ExplorerSport,920
FlexLimited,1039
Expedition5.4L,898
Expedition4WD,896
Expedition,892
F-150Platinum,938
TerrainAWD,2388
